location,estimate_type,year,grilse,adults,totals
Iron Gate Hatchery  (IGH),Spawner Escapement,1988,609.0,16106.0,16715.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1989,831.0,10859.0,11690.0
Trinity River Hatchery (TRH),Spawner Escapement,1987,2453.0,13934.0,16387.0
Trinity River Hatchery (TRH),Spawner Escapement,1988,4752.0,17352.0,22104.0
Trinity River Hatchery (TRH),Spawner Escapement,1989,239.0,11132.0,11371.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,,4278.0,29123.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,33401.0,5361.0,33458.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,38819.0,1070.0,21991.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,23061.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1988,,5949.0,71920.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,77869.0,10626.0,44616.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,55242.0,2543.0,29445.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,31988.0,,118.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,3832.0,3950.0,327.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,3273.0,3600.0,695.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,2915.0,3610.0,
Hatchery Spawners Subtotals,Spawner Escapement,1989,797.0,7769.0,8566.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,473.0,4727.0,5200.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,1188.0,3000.0,4188.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,,398.0,4299.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,4697.0,256.0,2586.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,2842.0,137.0,1440.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,1577.0,,1208.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,9748.0,10956.0,225.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,16215.0,16440.0,444.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,2218.0,2662.0,
Hatchery Spawners Subtotals,Spawner Escapement,1987,,65.0,863.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,928.0,164.0,2982.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,3146.0,214.0,1011.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,1225.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1988,237.0,3286.0,3523.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,418.0,4167.0,4585.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,248.0,3239.0,3487.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,,,
Hatchery Spawners Subtotals,Spawner Escapement,1989,,,
Hatchery Spawners Subtotals,Spawner Escapement,1987,,,
Hatchery Spawners Subtotals,Spawner Escapement,1988,,,
Hatchery Spawners Subtotals,Spawner Escapement,1989,,8772.0,101717.0
Hatchery Spawners Subtotals,Spawner Escapement,1987,110489.0,12544.0,79386.0
Hatchery Spawners Subtotals,Spawner Escapement,1988,91930.0,5509.0,43868.0
Hatchery Spawners Subtotals,Spawner Escapement,1989,49377.0,,13050.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1990,321.0,6719.0,7040.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1991,65.0,4002.0,4067.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1992,3737.0,3581.0,7318.0
Trinity River Hatchery (TRH),Spawner Escapement,1990,371.0,1348.0,1719.0
Trinity River Hatchery (TRH),Spawner Escapement,1991,205.0,2482.0,2687.0
Trinity River Hatchery (TRH),Spawner Escapement,1992,211.0,3779.0,3990.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,,692.0,8067.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,8759.0,270.0,6484.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,6754.0,3948.0,7360.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,11308.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1991,,241.0,7682.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,7923.0,382.0,4867.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,5249.0,2563.0,7139.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,9702.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1992,,,143.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,1337.0,1480.0,547.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,778.0,1325.0,
Hatchery Spawners Subtotals,Spawner Escapement,1992,236.0,1379.0,1615.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,146.0,2019.0,2165.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,965.0,1873.0,2838.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,,118.0,415.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,533.0,10.0,716.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,726.0,66.0,520.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,586.0,,53.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,732.0,785.0,20.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,1261.0,1281.0,556.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,598.0,1154.0,
Hatchery Spawners Subtotals,Spawner Escapement,1990,,59.0,505.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,564.0,8.0,572.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,580.0,234.0,366.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,600.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1991,30.0,694.0,724.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,9.0,495.0,504.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,153.0,280.0,433.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,,,
Hatchery Spawners Subtotals,Spawner Escapement,1992,,,
Hatchery Spawners Subtotals,Spawner Escapement,1990,,,
Hatchery Spawners Subtotals,Spawner Escapement,1991,,,1350.0
Hatchery Spawners Subtotals,Spawner Escapement,1992,15596.0,16946.0,718.0
Hatchery Spawners Subtotals,Spawner Escapement,1990,11649.0,12367.0,5143.0
Hatchery Spawners Subtotals,Spawner Escapement,1991,12028.0,17171.0,
Hatchery Spawners Subtotals,Spawner Escapement,1992,2042.0,23663.0,25705.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1993,883.0,20828.0,21711.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1994,758.0,,14566.0
Iron Gate Hatchery  (IGH),Spawner Escapement,1995,259.0,,22940.0
Trinity River Hatchery (TRH),Spawner Escapement,1993,736.0,815.0,1551.0
Trinity River Hatchery (TRH),Spawner Escapement,1994,4442.0,3264.0,7706.0
Trinity River Hatchery (TRH),Spawner Escapement,1995,76.0,15178.0,15254.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,,1619.0,21643.0
Hatchery Spawners Subtotals,Spawner Escapement,1994,23262.0,5200.0,17072.0
Hatchery Spawners Subtotals,Spawner Escapement,1995,22272.0,335.0,37859.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,38194.0,,
Hatchery Spawners Subtotals,Spawner Escapement,1994,,2465.0,5905.0
Hatchery Spawners Subtotals,Spawner Escapement,1995,8370.0,2505.0,10906.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,13411.0,9262.0,77876.0
Hatchery Spawners Subtotals,Spawner Escapement,1994,87138.0,,456.0
Hatchery Spawners Subtotals,Spawner Escapement,1995,3077.0,3533.0,277.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,3216.0,3493.0,1335.0
Hatchery Spawners Subtotals,Spawner Escapement,1994,4140.0,5475.0,
Hatchery Spawners Subtotals,Spawner Escapement,1995,265.0,5035.0,5300.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,505.0,2358.0,2863.0
Hatchery Spawners Subtotals,Spawner Escapement,1994,3279.0,11198.0,14477.0
Hatchery Spawners Subtotals,Spawner Escapement,1995,,85.0,1341.0
Hatchery Spawners Subtotals,Spawner Escapement,1993,1426.0,1840.0,3363.0
Hatchery Spawners Subtotals,Spawner Escapement,1994,5203.0,695.0,12816.0
