fiscal_year,month,pond,mortality,type,age,starting_count
2024,Aug,P20,1,pond,1,423
2024,Aug,C1,5,pond,0,NA
2024,Aug,C4,6,pond,other,NA
2024,Aug,P10,1,pond,0/2,504
2024,Aug,P11,1,pond,0/2,503
2024,Aug,P13,1634,pond,0/1/2,505
2024,Aug,P10,3,pond,0/2,504
2024,Aug,P11,2,pond,0/2,503
2024,Aug,P12,1,pond,0/2,504
2024,Aug,P13,111,pond,0/1/2,505
2024,Aug,P14,3,pond,0/1/2,502
2024,Aug,P10,3,pond,0/2,504
2024,Aug,P13,38,pond,0/1/2,505
2024,Aug,P12,1,pond,0/2,504
2024,Aug,P13,1,pond,0/1/2,505
2024,Aug,P14,1,pond,0/1/2,502
2024,Aug,P19,1,pond,1,628
2024,Aug,C1,7,pond,0,NA
2024,Aug,C4,1,pond,other,NA
2024,Aug,P4,1,pond,4,100
2024,Aug,P12,1,pond,0/2,504
2024,Aug,P13,2,pond,0/1/2,505
2024,Aug,P15,3,pond,2/other,504
2024,Aug,P19,1,pond,1,628
2024,Aug,P18,1,pond,1,1500
2024,Aug,P11,1,pond,0/2,503
2024,Aug,P12,1,pond,0/2,504
2024,Aug,P15,1,pond,2/other,504
2024,Aug,P17,1,pond,2/other,911
2024,Aug,P18,1,pond,1,1500
2024,Aug,P19,1,pond,1,628
2024,Aug,C1,2,pond,0,NA
2024,Aug,P13,2,pond,0/1/2,505
2024,Aug,C4,1,pond,other,NA
2024,Aug,P13,2,pond,0/1/2,505
2024,Aug,C1,10,pond,0,NA
2024,Aug,C4,4,pond,other,NA
2024,Aug,P10,2,pond,0/2,504
2024,Aug,P11,1,pond,0/2,503
2024,Aug,P13,1,pond,0/1/2,505
2024,Aug,P15,2,pond,2/other,504
2024,Aug,P13,1,pond,0/1/2,505
2024,Sep,P12,2,pond,0/2,504
2024,Sep,P10,4,pond,0/2,504
2024,Sep,P14,1,pond,0/1/2,502
2024,Sep,P11,2,pond,0/2,503
2024,Sep,P14,1,pond,0/1/2,502
2024,Sep,P15,1,pond,2/other,504
2024,Sep,C4,2,pond,other,NA
2024,Sep,P11,5,pond,0/2,503
2024,Sep,C4,1,pond,other,NA
2024,Sep,P20,1,pond,1,423
2024,Sep,C1,4,pond,0,NA
2024,Sep,C2,2,pond,1,NA
2024,Sep,P10,3,pond,0/2,504
2024,Sep,P11,1,pond,0/2,503
2024,Sep,P15,6,pond,2/other,504
2024,Sep,P20,1,pond,1,423
2024,Sep,C1,8,pond,0,NA
2024,Sep,C2,1,pond,1,NA
2024,Sep,C4,2,pond,other,NA
2024,Sep,C4,3,pond,other,NA
2024,Sep,P15,4,pond,2/other,504
2024,Sep,P16,1,pond,2/other,504
2024,Sep,C1,3,pond,0,NA
